Player,GP,TOI,GAR/60
CAM.FOWLER,217,5325,0
CARL.DAHLSTROM,48,881.53,0
CARL.GUNNARSSON,153,2272.47,0.09
CARL.HAGELIN,221,3349.31,0.18
CARL.SODERBERG,241,3859.77,0
CARTER.ROWNEY,154,1734.19,0
CASEY.CIZIKAS,193,2638.27,0.18
CASEY.MITTELSTADT,81,1097.3,-0.14
CASEY.NELSON,84,1384.47,0.04
CEDRIC.PAQUETTE,210,2387.57,0.04
CHAD.RUHWEDEL,114,1833.71,0.04
CHANDLER.STEPHENSON,153,1909.41,-0.04
CHARLES.HUDON,104,1383.58,0.09
CHARLIE.COYLE,237,3940.63,0.04
CHARLIE.MCAVOY,134,3012.14,0.14
CHRIS.KELLY,96,1081.78,-0.22
CHRIS.KREIDER,222,3722.61,0.32
CHRIS.KUNITZ,243,3035.93,0.04
CHRIS.STEWART,138,1439.98,-0.36
CHRIS.TANEV,149,2998.84,-0.04
CHRIS.THORBURN,114,798.39,-0.04
CHRISTIAN.DJOOS,126,1679.27,0.09
CHRISTIAN.DVORAK,173,2741.92,0
CHRISTIAN.FISCHER,155,2090.48,0.22
CHRISTIAN.FOLIN,164,2522.8,-0.04
CHRISTIAN.JAROS,58,834.23,-0.14
CHRISTIAN.WOLANIN,39,644.8,0.04
CHRIS.TIERNEY,255,4031.36,0.04
CHRISTOFFER.EHN,58,606.25,-0.09
CHRIS.VANDEVELDE,81,936.45,-0.14
CHRIS.WAGNER,215,2660.6,-0.04
CHRIS.WIDEMAN,132,1767.26,0
CLAUDE.GIROUX,249,5043.18,0.5
CLAYTON.KELLER,161,2926.29,0.09
CODY.CECI,251,5786.36,-0.14
CODY.EAKIN,235,3602.37,0
CODY.FRANSON,91,1638.97,0.09
CODY.GOLOUBEF,33,560.65,-0.04
CODY.MCLEOD,160,1126.06,-0.5
COLBY.CAVE,51,619.85,0.14
COLIN.MILLER,229,4201.28,0.14
COLIN.WHITE,89,1375.15,0.04
COLIN.WILSON,208,2898.6,0.14
COLTON.PARAYKO,254,5655.08,0.18
COLTON.SCEVIOUR,213,2890.7,-0.04
COLTON.SISSONS,246,3647.38,0.14
CONNOR.BRICKLEY,56,629.77,0.04
CONNOR.BROWN,257,3890.38,-0.09
CONNOR.CARRICK,152,2411.7,-0.09
CONNOR.MCDAVID,253,5535.37,0.76
CONNOR.MURPHY,201,3663.76,0
CONOR.GARLAND,45,575.1,0
CONOR.SHEARY,250,3643.96,0.09
COREY.PERRY,204,3535.72,0.18
CRAIG.SMITH,253,3725.66,0.18
CURTIS.LAZAR,103,985.94,-0.09
CURTIS.MCKENZIE,53,575.12,0.36
DALE.WEISE,163,1926.13,0.04
DALTON.PROUT,47,651.96,-0.14
DAMON.SEVERSON,240,4959.33,-0.09
DAN.GIRARDI,230,4197.23,0
DAN.HAMHUIS,213,4017.89,-0.04
DANIEL.CARR,71,799.51,0.18
DANIEL.SEDIN,162,2727.43,0
DANIEL.SPRONG,69,836.25,0.14
DANIEL.WINNIK,171,2239.12,0
DANNY.DEKEYSER,199,4263.25,-0.04
DANTON.HEINEN,169,2418.72,0.27
DARNELL.NURSE,219,4705.45,-0.14
DARREN.HELM,183,2780.19,0.04
DAVID.BACKES,217,3289.79,0.09
DAVID.DESHARNAIS,133,1661.15,-0.09
DAVID.KAMPF,106,1427.4,0.04
DAVID.KREJCI,241,4241.05,0.18
DAVID.PASTRNAK,239,4378.18,0.68
DAVID.PERRON,232,3987.11,0.18
DAVID.SAVARD,245,4983.33,0.04
DAVID.SCHLEMKO,122,2150.7,0.09
DENIS.MALGIN,147,1867.27,0.18
DENNIS.CHOLOWSKI,52,949.17,0
DENNIS.RASMUSSEN,98,1085.55,-0.04
DENNIS.SEIDENBERG,101,1918.87,0
DENNIS.WIDEMAN,57,1153.08,-0.04
DEREK.FORBORT,239,4913.81,-0.14
DEREK.GRANT,171,1857.36,0
DEREK.MACKENZIE,157,1877.52,-0.04
DEREK.RYAN,226,3334.76,0.22
DEREK.STEPAN,244,4670.73,0.14
DERICK.BRASSARD,251,4203.21,0.04
DERRICK.POULIOT,142,2461.01,-0.14
DERYK.ENGELLAND,255,4975.42,-0.09
DEVANTE.SMITH-PELLY,205,2506.6,-0.14
DEVIN.SETOGUCHI,45,559.88,0.18
DEVIN.SHORE,239,3495.47,0
DEVON.TOEWS,45,805.4,0.09
DION.PHANEUF,248,4939.91,-0.09
DMITRIJ.JASKIN,165,1926.97,0.14
DMITRY.KULIKOV,165,2958.59,-0.04
DMITRY.ORLOV,279,6047.34,0.04
DOMINIC.MOORE,140,1688,-0.04
DOMINIK.KAHUN,78,1108.1,0.04
DOMINIK.SIMON,110,1394.98,0.18
DOUGIE.HAMILTON,246,5000.85,0.27
DRAKE.CAGGIULA,192,2653.98,0.04
DREW.DOUGHTY,247,6640.16,0.04
DREW.MILLER,55,565.48,-0.18
DREW.STAFFORD,180,2380.24,-0.14
DUNCAN.KEITH,244,5898.7,-0.18
DUSTIN.BROWN,235,4407.29,0.14
DUSTIN.BYFUGLIEN,206,5300.32,0.04
DWIGHT.KING,86,1227.82,-0.04
DYLAN.DEMELO,172,2870.15,-0.09
DYLAN.LARKIN,235,4513.45,0.14
DYLAN.STROME,102,1559.75,0.14
ELIAS.LINDHOLM,232,4339.55,0.14
ELIAS.PETTERSSON,68,1243.53,0.94
ERIC.FEHR,151,1668.53,-0.14
ERIC.GRYBA,74,1151.25,0.04
ERIC.STAAL,253,4604.08,0.36
ERIK.CERNAK,56,1078.43,0.04
ERIK.GUDBRANSON,155,2901.08,0
ERIK.GUSTAFSSON,110,2337.43,0.18
ERIK.HAULA,186,2925.64,0.27
ERIK.JOHNSON,184,4258.77,-0.04
ERIK.KARLSSON,219,5775.2,0.09
ESA.LINDELL,233,5312.59,-0.09
EVANDER.KANE,230,4379.01,0.09
EVAN.RODRIGUES,150,2198.75,0.14
EVGENI.MALKIN,240,4494.93,0.54
EVGENY.DADONOV,154,2852.24,0.14
EVGENY.KUZNETSOV,270,4981.53,0.09
FEDOR.TYUTIN,69,1306.75,-0.18
FILIP.CHYTIL,84,1156.43,-0.04
FILIP.FORSBERG,245,4492.61,0.32
FILIP.HRONEK,44,878.77,0.04
FRANCOIS.BEAUCHEMIN,152,2987.37,-0.04
FRANK.VATRANO,170,2267.46,0.14
FRANS.NIELSEN,229,3789.7,0.09
FREDERICK.GAUDREAU,91,839.55,0.36
FREDERIK.GAUTHIER,98,846.71,0
FREDRIK.CLAESSON,147,2240.5,0.09
GABRIEL.BOURQUE,116,1202.85,-0.27
GABRIEL.DUMONT,69,648.4,0.14
GABRIEL.LANDESKOG,226,4517.17,0.18
GARNET.HATHAWAY,159,1692.15,0.04
GEMEL.SMITH,80,807.05,0.09
GREG.MCKEGG,111,1130.14,0
GREG.PATERYN,187,3316.86,0.09
GUSTAV.FORSLING,119,2030.02,-0.22
GUSTAV.NYQUIST,236,4163.23,0.18
GUSTAV.OLOFSSON,54,699,0.32
HAMPUS.LINDHOLM,230,5299.8,0.04
HAYDN.FLEURY,85,1351.29,-0.18
HENRI.JOKIHARJU,37,704.22,-0.14
HENRIK.BORGSTROM,48,580.58,0.22
HENRIK.SEDIN,163,2820.18,0
HENRIK.ZETTERBERG,163,3198.8,0.18
IAN.COLE,246,4707.92,-0.04
IAN.MCCOSHEN,57,825.95,-0.09
IGOR.OZHIGANOV,52,729.82,0
IIRO.PAKARINEN,55,541.1,0
ILYA.KOVALCHUK,62,1007.57,-0.27
ILYA.LYUBUSHKIN,40,547.3,-0.14
IVAN.BARBASHEV,167,1972.55,0.22
IVAN.PROVOROV,249,5915.18,-0.09
JACCOB.SLAVIN,243,5589.37,0.14
JACK.EICHEL,203,4097.18,0.22
JACK.JOHNSON,244,4971.47,-0.09
JACK.ROSLOVIC,116,1219.18,0.18
JACOB.DE LA ROSE,124,1436.19,-0.22
JACOB.JOSEFSON,77,909.08,-0.27
JACOB.LARSSON,47,802.97,-0.18
JACOB.TROUBA,212,4900.99,0
JADEN.SCHWARTZ,218,4130.86,0.27
JAKE.DEBRUSK,148,2248,0.54
JAKE.DOTCHIN,102,1661.22,-0.04
JAKE.GARDINER,237,5214.35,-0.04
JAKE.GUENTZEL,239,4188.77,0.45
JAKE.MCCABE,186,3681.76,0
JAKE.MUZZIN,238,5177.9,0.04
JAKE.VIRTANEN,151,1980.56,-0.14
JAKOB.CHYCHRUN,170,3200.85,-0.04
JAKOB.SILFVERBERG,248,4461.53,0.22
JAKUB.JERABEK,38,613.33,0
JAKUB.KINDL,39,572.77,-0.22
JAKUB.VORACEK,245,4666.67,0.22
JAKUB.VRANA,195,2519.25,0.32
JAMES.NEAL,243,4071.96,0.14
JAMES.VAN RIEMSDYK,239,3749.22,0.27
JAMIE.BENN,236,4523,0.22
JAMIE.MCGINN,166,2163.07,-0.04
JAMIE.OLEKSIAK,176,2770.07,0.04
JANNIK.HANSEN,95,1338.23,0.32
JAN.RUTTA,92,1634.88,-0.04
JARED.MCCANN,173,2334.67,0.09
JARED.SPURGEON,227,5494.42,0.22
JAROME.IGINLA,80,1210.17,-0.04
JAROMIR.JAGR,104,1680.97,0.32
JASON.CHIMERA,158,1847.12,0.09
JASON.DEMERS,182,3685.29,-0.09
JASON.DICKINSON,102,1217.5,0.04
JASON.GARRISON,95,1667.84,-0.32
JASON.POMINVILLE,236,3285.98,0.27
JASON.SPEZZA,220,3094.89,0.14
JASON.ZUCKER,250,4118.97,0.36
JAY.BEAGLE,249,3256.91,-0.22
JAY.BOUWMEESTER,203,4359.83,-0.18
JAYCOB.MEGNA,41,608.38,0
JAY.MCCLEMENT,65,739.87,-0.32
JAYSON.MEGNA,58,721.18,0.09
JEAN-GABRIEL.PAGEAU,215,3618.83,0
JEFF.CARTER,187,3387.31,-0.04
JEFF.PETRY,247,5664.85,0.04
JEFF.SKINNER,241,4256.68,0.5
JESPER.BRATT,126,1916.7,0.04
JESPER.FAST,217,3212.05,0.04
JESPERI.KOTKANIEMI,76,1053.35,0.22
JESSE.PULJUJARVI,139,1733.8,-0.04
JIMMY.HAYES,91,928.68,-0.14
JIMMY.VESEY,250,3665.67,0
JOAKIM.NORDSTROM,225,2751.96,-0.09
JOAKIM.RYAN,108,1628.07,0
JOE.COLBORNE,62,663.33,-0.14
JOEL.ARMIA,203,2856.3,0.09
JOEL.EDMUNDSON,211,4096.13,-0.09
JOEL.ERIKSSON EK,154,1955.99,0.22
JOEL.WARD,135,1934.22,-0.04
JOE.MORROW,125,1984.17,-0.09
JOE.PAVELSKI,251,4834.25,0.45
JOE.THORNTON,200,3445.97,0.27
JOHAN.LARSSON,187,2747.08,-0.18
JOHN.CARLSON,268,6505.2,0.09
JOHN.GILMOUR,33,561.31,0.18
JOHN.HAYDEN,111,1125.36,0
JOHN.KLINGBERG,224,5371.42,0.14
JOHN-MICHAEL.LILES,42,682.38,0
JOHN.MITCHELL,65,816,-0.04
JOHN.MOORE,210,4052.38,-0.14
JOHNNY.BOYCHUK,196,3894.25,-0.04
JOHNNY.GAUDREAU,236,4564.15,0.32
JOHNNY.ODUYA,108,1915.85,0.04
JOHN.TAVARES,239,4735.04,0.45
JONAS.BRODIN,231,4766.4,0.14
JONATHAN.DROUIN,228,3978.04,0.14
JONATHAN.ERICSSON,183,3415.5,-0.18
